Generation 30 | Average Generation Fitness: 0.7871821766013235 | Best Fitness: 0.8332691921358484 | Population Length: 200
Generation 31 | Average Generation Fitness: 0.7898218409727013 | Best Fitness: 0.8332823427272674 | Population Length: 200
Generation 32 | Average Generation Fitness: 0.7963222680045838 | Best Fitness: 0.8332843812390961 | Population Length: 200
Generation 33 | Average Generation Fitness: 0.7996330207453571 | Best Fitness: 0.8332867617903489 | Population Length: 200
Generation 34 | Average Generation Fitness: 0.7924158555211969 | Best Fitness: 0.8332867617903489 | Population Length: 200
Generation 35 | Average Generation Fitness: 0.7922853955291937 | Best Fitness: 0.8332916563609233 | Population Length: 200
Generation 36 | Average Generation Fitness: 0.7919497082159519 | Best Fitness: 0.8333026792366721 | Population Length: 200
Generation 37 | Average Generation Fitness: 0.7916242245024656 | Best Fitness: 0.833313397010541 | Population Length: 200
Generation 38 | Average Generation Fitness: 0.795711327708997 | Best Fitness: 0.833320075003874 | Population Length: 200
Generation 39 | Average Generation Fitness: 0.7912820191780903 | Best Fitness: 0.833320075003874 | Population Length: 200
Generation 40 | Average Generation Fitness: 0.7899103356666783 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 41 | Average Generation Fitness: 0.7960498661514716 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 42 | Average Generation Fitness: 0.7991720685282526 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 43 | Average Generation Fitness: 0.7916972139996701 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 44 | Average Generation Fitness: 0.7905351060480897 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 45 | Average Generation Fitness: 0.7942282109174776 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 46 | Average Generation Fitness: 0.7944868600109689 | Best Fitness: 0.8333204188567579 | Population Length: 200
Generation 47 | Average Generation Fitness: 0.7899478454768685 | Best Fitness: 0.8333323157171303 | Population Length: 200
Generation 48 | Average Generation Fitness: 0.789686043854583 | Best Fitness: 0.8333323157171303 | Population Length: 200
Generation 49 | Average Generation Fitness: 0.7926012697580552 | Best Fitness: 0.8333323157171303 | Population Length: 200
Generation 50 | Average Generation Fitness: 0.7924062612575641 | Best Fitness: 0.8333323157171303 | Population Length: 200
Generation 51 | Average Generation Fitness: 0.7962939154180535 | Best Fitness: 0.8333324378792144 | Population Length: 200
Generation 1 | Average Generation Fitness: 0.7406818555922942 | Best Fitness: 0.8095006001736501 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.7813433624863861 | Best Fitness: 0.8232574274227099 | Population Length: 200
Generation 3 | Average Generation Fitness: 0.7842797050152213 | Best Fitness: 0.8289007647043736 | Population Length: 200
Generation 4 | Average Generation Fitness: 0.7907243566612208 | Best Fitness: 0.8299007366582736 | Population Length: 200
Generation 5 | Average Generation Fitness: 0.7886759487084801 | Best Fitness: 0.8309626183296681 | Population Length: 200
Generation 6 | Average Generation Fitness: 0.789987620896033 | Best Fitness: 0.8318800427497917 | Population Length: 200
Generation 7 | Average Generation Fitness: 0.7899488813984693 | Best Fitness: 0.8319022869376891 | Population Length: 200
Generation 8 | Average Generation Fitness: 0.7914863841161661 | Best Fitness: 0.8322475271401779 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.7939856758679891 | Best Fitness: 0.8322558612145968 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7960554919203013 | Best Fitness: 0.832799415011514 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7939997711120923 | Best Fitness: 0.8328991257392364 | Population Length: 200
